NO,K,lon,lat,시,구,도로명주소,id,
242,22,127.0840381,37.53463405,서울특별시,광진구,서울특별시 광진구 자양로 75,242,2762
243,22,126.8978669,37.46172322,서울특별시,금천구,서울특별시 금천구 시흥대로 316,243,2761
244,22,127.032418,37.64440506,서울특별시,도봉구,서울특별시 도봉구 도봉로 430,244,2760
245,22,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,245,2759
246,22,127.0675304,37.64904569,서울특별시,노원구,서울특별시 노원구 동일로210길 86,246,2758
247,22,126.9825529,37.47925026,서울특별시,서초구,서울특별시 서초구 방배천로 32,247,2757
248,22,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,248,2756
249,22,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,249,2755
250,22,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,250,2754
251,22,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,251,2753
252,22,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,252,2752
253,22,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,253,2751
254,23,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,254,2750
255,23,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,255,2749
256,23,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,256,2748
257,23,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,257,2747
258,23,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,258,2746
259,23,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,259,2745
260,23,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,260,2744
261,23,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,261,2743
262,23,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,262,2742
263,23,127.0222801,37.63444973,서울특별시,강북구,서울특별시 강북구 덕릉로 78,263,2741
264,23,127.0840381,37.53463405,서울특별시,광진구,서울특별시 광진구 자양로 75,264,2740
265,23,126.8978669,37.46172322,서울특별시,금천구,서울특별시 금천구 시흥대로 316,265,2739
266,23,127.032418,37.64440506,서울특별시,도봉구,서울특별시 도봉구 도봉로 430,266,2738
267,23,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,267,2737
268,23,127.0675304,37.64904569,서울특별시,노원구,서울특별시 노원구 동일로210길 86,268,2736
269,23,126.9825529,37.47925026,서울특별시,서초구,서울특별시 서초구 방배천로 32,269,2735
270,23,126.9950363,37.47299474,서울특별시,서초구,서울특별시 서초구 남부순환로296가길 3,270,2734
271,23,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,271,2733
272,23,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,272,2732
273,23,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,273,2731
274,23,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,274,2730
275,23,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,275,2729
276,23,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,276,2728
277,24,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,277,2727
278,24,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,278,2726
279,24,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,279,2725
280,24,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,280,2724
281,24,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,281,2723
282,24,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,282,2722
283,24,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,283,2721
284,24,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,284,2720
285,24,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,285,2719
286,24,127.0222801,37.63444973,서울특별시,강북구,서울특별시 강북구 덕릉로 78,286,2718
